,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
0,1603478755-305517,-,229204.0,100.0,58.14577983424152,27.97900390625,0.1385228879077154,6.122019840404391e-06,0.9987691051223464,Baseline:hf=75:hl=10,BASELINE
1,1603478755-305517,-,229204.0,100.0,56.49270356372514,27.97900390625,0.1385228879077154,8.955354132922366e-06,0.9982018941149892,Baseline:hf=75:hl=10,BASELINE
2,1603478755-305517,-,229204.0,100.0,58.214384879261544,27.97900390625,0.1385228879077154,6.18966714682756e-06,0.9990853285667716,Baseline:hf=75:hl=10,BASELINE
3,1603478755-305517,-,252004.0,100.0,53.48611113562158,30.76220703125,0.12599006364978332,1.7784917872631922e-05,0.9975415105177378,Baseline:hf=75:hl=11,BASELINE
4,1603478755-305517,-,252004.0,100.0,58.40136491548986,30.76220703125,0.12599006364978332,5.266153493721504e-06,0.9990028088928652,Baseline:hf=75:hl=11,BASELINE
5,1603478755-305517,-,252004.0,100.0,59.208228216144036,30.76220703125,0.12599006364978332,4.557864485832397e-06,0.9991725775873259,Baseline:hf=75:hl=11,BASELINE
6,1603478755-305517,-,274804.0,100.0,49.7312583648625,33.54541015625,0.1155368917483006,6.147941894596443e-05,0.9942337387410228,Baseline:hf=75:hl=12,BASELINE
7,1603478755-305517,-,274804.0,100.0,50.735731407608824,33.54541015625,0.1155368917483006,4.3611562432488427e-05,0.9953245973345504,Baseline:hf=75:hl=12,BASELINE
8,1603478755-305517,-,274804.0,100.0,52.523091228906424,33.54541015625,0.1155368917483006,1.9734019588213414e-05,0.9962229021240646,Baseline:hf=75:hl=12,BASELINE
9,1603478755-305517,-,297604.0,100.0,53.261245584755876,36.32861328125,0.10668539401352133,1.85797325684689e-05,0.9977115207267888,Baseline:hf=75:hl=13,BASELINE
10,1603478755-305517,-,297604.0,100.0,46.030593388790294,36.32861328125,0.10668539401352133,9.751738252816722e-05,0.9887880644127832,Baseline:hf=75:hl=13,BASELINE
