,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
0,2021.01.12-222903,2020.12.14-174343,16420.0,19.552274351035962,29.49142254936174,2.00439453125,3.9912302070645556,0.004508448299020529,0.8083084507469177,AGP+QATRLQ:S:PCW,QATRLQ
1,2021.01.12-222940,2020.12.14-174343,16489.0,19.63443677065968,39.044616716944354,2.0128173828125,3.9745284735278066,0.0004989268491044636,0.970982497522212,AGP+QATRLQ:S:PCW,QATRLQ
2,2021.01.12-223018,2020.12.14-174343,16352.0,19.471302691116932,29.346378432114008,1.99609375,4.007827788649706,0.00466539291664958,0.793262102562616,AGP+QATRLQ:S:NNPCW,QATRLQ
3,2021.01.12-223053,2020.12.14-174343,16486.0,19.630864491545605,37.734865465477746,2.012451171875,3.9752517287395364,0.000674196460749954,0.961793807216645,AGP+QATRLQ:S:NNPCW,QATRLQ
4,2021.01.12-223129,2020.12.14-174343,16404.0,19.533222195760896,26.188218266433328,2.00244140625,3.995123140697391,0.009621398523449898,0.7311767127365446,AGP+QATRLQ:S:PCW,QATRLQ
5,2021.01.12-223206,2020.12.14-174343,16478.0,19.621338413908074,35.35868950216822,2.011474609375,3.977181696807865,0.0011666875798255205,0.9284374936215029,AGP+QATRLQ:S:PCW,QATRLQ
6,2021.01.12-223243,2020.12.14-174343,16327.0,19.441533698499644,26.324789291482855,1.9930419921875,4.013964598517792,0.009323567152023315,0.7237110090782451,AGP+QATRLQ:S:NNPCW,QATRLQ
7,2021.01.12-223319,2020.12.14-174343,16461.0,19.601095498928316,34.43145712156942,2.0093994140625,3.9812891075876315,0.0014448573347181082,0.9179113596414438,AGP+QATRLQ:S:NNPCW,QATRLQ
8,2021.01.12-223354,2020.12.14-174343,16420.0,19.552274351035962,29.49142254936174,2.00439453125,3.9912302070645556,0.004508448299020529,0.8083084507469177,AGP+QATRLQ:AU:PCW,QATRLQ
9,2021.01.12-223431,2020.12.14-174343,16489.0,19.63443677065968,39.044616716944354,2.0128173828125,3.9745284735278066,0.0004989268491044636,0.970982497522212,AGP+QATRLQ:AU:PCW,QATRLQ
10,2021.01.12-223509,2020.12.14-174343,16352.0,19.471302691116932,29.346378432114008,1.99609375,4.007827788649706,0.00466539291664958,0.793262102562616,AGP+QATRLQ:AU:NNPCW,QATRLQ
11,2021.01.12-223544,2020.12.14-174343,16486.0,19.630864491545605,37.734865465477746,2.012451171875,3.9752517287395364,0.000674196460749954,0.961793807216645,AGP+QATRLQ:AU:NNPCW,QATRLQ
12,2021.01.12-223620,2020.12.14-174343,16404.0,19.533222195760896,26.188218266433328,2.00244140625,3.995123140697391,0.009621398523449898,0.7311767127365446,AGP+QATRLQ:AU:PCW,QATRLQ
13,2021.01.12-223657,2020.12.14-174343,16478.0,19.621338413908074,35.35868950216822,2.011474609375,3.977181696807865,0.0011666875798255205,0.9284374936215029,AGP+QATRLQ:AU:PCW,QATRLQ
14,2021.01.12-223733,2020.12.14-174343,16327.0,19.441533698499644,26.324789291482855,1.9930419921875,4.013964598517792,0.009323567152023315,0.7237110090782451,AGP+QATRLQ:AU:NNPCW,QATRLQ
15,2021.01.12-223808,2020.12.14-174343,16461.0,19.601095498928316,34.43145712156942,2.0093994140625,3.9812891075876315,0.0014448573347181082,0.9179113596414438,AGP+QATRLQ:AU:NNPCW,QATRLQ
16,2021.01.12-223844,2020.12.14-174343,16420.0,19.552274351035962,29.49142254936174,2.00439453125,3.9912302070645556,0.004508448299020529,0.8083084507469177,AGP+QATRLQ:AS:PCW,QATRLQ
17,2021.01.12-223921,2020.12.14-174343,16489.0,19.63443677065968,39.044616716944354,2.0128173828125,3.9745284735278066,0.0004989268491044636,0.970982497522212,AGP+QATRLQ:AS:PCW,QATRLQ
