,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
1603478755-305517,1603478755-305517,-,229204.0,100.0,58.14577983424152,27.97900390625,0.1385228879077154,6.122019840404391e-06,0.9987691051223465,Baseline:hf=75:hl=10,BASELINE
1603478755-305517,1603478755-305517,-,229204.0,100.0,56.492703563725144,27.97900390625,0.1385228879077154,8.955354132922366e-06,0.9982018941149892,Baseline:hf=75:hl=10,BASELINE
1603478755-305517,1603478755-305517,-,229204.0,100.0,58.214384879261544,27.97900390625,0.1385228879077154,6.18966714682756e-06,0.9990853285667715,Baseline:hf=75:hl=10,BASELINE
1603478755-305517,1603478755-305517,-,252004.0,100.0,53.486111135621584,30.76220703125,0.12599006364978332,1.7784917872631922e-05,0.9975415105177378,Baseline:hf=75:hl=11,BASELINE
1603478755-305517,1603478755-305517,-,252004.0,100.0,58.40136491548985,30.76220703125,0.12599006364978332,5.266153493721504e-06,0.9990028088928652,Baseline:hf=75:hl=11,BASELINE
1603478755-305517,1603478755-305517,-,252004.0,100.0,59.208228216144036,30.76220703125,0.12599006364978332,4.557864485832397e-06,0.9991725775873259,Baseline:hf=75:hl=11,BASELINE
1603478755-305517,1603478755-305517,-,274804.0,100.0,49.731258364862505,33.54541015625,0.1155368917483006,6.147941894596443e-05,0.9942337387410228,Baseline:hf=75:hl=12,BASELINE
1603478755-305517,1603478755-305517,-,274804.0,100.0,50.73573140760882,33.54541015625,0.1155368917483006,4.3611562432488427e-05,0.9953245973345504,Baseline:hf=75:hl=12,BASELINE
1603478755-305517,1603478755-305517,-,274804.0,100.0,52.523091228906424,33.54541015625,0.1155368917483006,1.9734019588213414e-05,0.9962229021240646,Baseline:hf=75:hl=12,BASELINE
1603478755-305517,1603478755-305517,-,297604.0,100.0,53.261245584755876,36.32861328125,0.10668539401352133,1.85797325684689e-05,0.9977115207267888,Baseline:hf=75:hl=13,BASELINE
1603478755-305517,1603478755-305517,-,297604.0,100.0,46.03059338879028,36.32861328125,0.10668539401352133,9.751738252816722e-05,0.9887880644127832,Baseline:hf=75:hl=13,BASELINE
1603478755-305517,1603478755-305517,-,297604.0,100.0,57.79892013367791,36.32861328125,0.10668539401352133,5.976523425488267e-06,0.9988493024973438,Baseline:hf=75:hl=13,BASELINE
1603557121-338703,1603557121-338703,-,124084.0,100.0,49.05059114305483,15.14697265625,0.255875052383869,6.713710172334686e-05,0.9966154381435409,Baseline:hf=55:hl=10,BASELINE
1603557121-338703,1603557121-338703,-,124084.0,100.0,46.97546182439638,15.14697265625,0.255875052383869,5.4430103773484007e-05,0.9956960935257815,Baseline:hf=55:hl=10,BASELINE
1603557121-338703,1603557121-338703,-,124084.0,100.0,45.7763180993973,15.14697265625,0.255875052383869,0.00010602621478028595,0.9888684497544776,Baseline:hf=55:hl=10,BASELINE
1603557121-338703,1603557121-338703,-,136404.0,100.0,47.08980886952968,16.65087890625,0.2327644350605554,7.604671554872766e-05,0.9918383330555415,Baseline:hf=55:hl=11,BASELINE
1603557121-338703,1603557121-338703,-,136404.0,100.0,52.06258447024386,16.65087890625,0.2327644350605554,2.2853713744552806e-05,0.997244459688085,Baseline:hf=55:hl=11,BASELINE
1603557121-338703,1603557121-338703,-,136404.0,100.0,54.80448088175932,16.65087890625,0.2327644350605554,1.3221285371400882e-05,0.9976904642152462,Baseline:hf=55:hl=11,BASELINE
1603557121-338703,1603557121-338703,-,148724.0,100.0,49.845281256422226,18.15478515625,0.2134826927731906,4.004314905614592e-05,0.9940291563709635,Baseline:hf=55:hl=12,BASELINE
1603557121-338703,1603557121-338703,-,148724.0,100.0,45.60083299579826,18.15478515625,0.2134826927731906,0.00011216648272238672,0.9936229872539288,Baseline:hf=55:hl=12,BASELINE
1603557121-338703,1603557121-338703,-,148724.0,100.0,53.65628874223741,18.15478515625,0.2134826927731906,1.805372266971972e-05,0.9974562796879454,Baseline:hf=55:hl=12,BASELINE
1603557121-338703,1603557121-338703,-,161044.0,100.0,52.53215453604593,19.65869140625,0.1971510891433397,2.0606683392543346e-05,0.9974388154754676,Baseline:hf=55:hl=13,BASELINE
1603557121-338703,1603557121-338703,-,161044.0,100.0,52.777943229903094,19.65869140625,0.1971510891433397,2.1224019292276353e-05,0.9961756008248073,Baseline:hf=55:hl=13,BASELINE
1603557121-338703,1603557121-338703,-,161044.0,100.0,45.249056281378266,19.65869140625,0.1971510891433397,0.00014270884275902063,0.991185756791536,Baseline:hf=55:hl=13,BASELINE
1603583765-067812,1603583765-067812,-,37844.0,100.0,40.665323565589205,4.61962890625,0.8389705105168587,0.00034432008396834135,0.9757822480377117,Baseline:hf=55:hl=3,BASELINE
1603583765-067812,1603583765-067812,-,37844.0,100.0,40.661138725574055,4.61962890625,0.8389705105168587,0.00034564774250611663,0.9753360704535592,Baseline:hf=55:hl=3,BASELINE
1603583765-067812,1603583765-067812,-,37844.0,100.0,40.15885025713256,4.61962890625,0.8389705105168587,0.00038538832450285554,0.971919496253085,Baseline:hf=55:hl=3,BASELINE
1603583765-067812,1603583765-067812,-,50164.0,100.0,43.86226731156076,6.12353515625,0.6329240092496611,0.00016426094225607812,0.987517633522199,Baseline:hf=55:hl=4,BASELINE
1603583765-067812,1603583765-067812,-,50164.0,100.0,42.09326370447389,6.12353515625,0.6329240092496611,0.0002456393849570304,0.9854545810739819,Baseline:hf=55:hl=4,BASELINE
