,timestamp,hf,hl,seed,gpu,image_name,heigth,width,cropped_heigth,cropped_width,is_cropped,lr,epochs,date,root_path,path
18,1603478755-305517,75,10,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.10.arch_no_0.trial_no_0.pth
19,1603478755-305517,75,10,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.10.arch_no_1.trial_no_0.pth
20,1603478755-305517,75,10,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.10.arch_no_2.trial_no_0.pth
21,1603478755-305517,75,11,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.11.arch_no_3.trial_no_0.pth
22,1603478755-305517,75,11,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.11.arch_no_4.trial_no_0.pth
23,1603478755-305517,75,11,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.11.arch_no_5.trial_no_0.pth
24,1603478755-305517,75,12,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.12.arch_no_6.trial_no_0.pth
25,1603478755-305517,75,12,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.12.arch_no_7.trial_no_0.pth
26,1603478755-305517,75,12,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.12.arch_no_8.trial_no_0.pth
27,1603478755-305517,75,13,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.13.arch_no_9.trial_no_0.pth
28,1603478755-305517,75,13,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.13.arch_no_10.trial_no_0.pth
29,1603478755-305517,75,13,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,23-10-2020,D:\data\cameramen\23-10-2020\1603478755-305517\train,/content/my_data/1603478755-305517.75.13.arch_no_11.trial_no_0.pth
30,1603557121-338703,55,10,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.10.arch_no_0.trial_no_0.pth
31,1603557121-338703,55,10,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.10.arch_no_1.trial_no_0.pth
32,1603557121-338703,55,10,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.10.arch_no_2.trial_no_0.pth
33,1603557121-338703,55,11,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.11.arch_no_3.trial_no_0.pth
34,1603557121-338703,55,11,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.11.arch_no_4.trial_no_0.pth
35,1603557121-338703,55,11,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.11.arch_no_5.trial_no_0.pth
36,1603557121-338703,55,12,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.12.arch_no_6.trial_no_0.pth
37,1603557121-338703,55,12,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.12.arch_no_7.trial_no_0.pth
38,1603557121-338703,55,12,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.12.arch_no_8.trial_no_0.pth
39,1603557121-338703,55,13,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.13.arch_no_9.trial_no_0.pth
40,1603557121-338703,55,13,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.13.arch_no_10.trial_no_0.pth
41,1603557121-338703,55,13,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,D:\data\cameramen\24-10-2020\1603557121-338703\train,/content/my_data/1603557121-338703.55.13.arch_no_11.trial_no_0.pth
42,1603583765-067812,55,3,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.3.arch_no_0.trial_no_0.pth
43,1603583765-067812,55,3,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.3.arch_no_1.trial_no_0.pth
44,1603583765-067812,55,3,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.3.arch_no_2.trial_no_0.pth
45,1603583765-067812,55,4,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.4.arch_no_3.trial_no_0.pth
46,1603583765-067812,55,4,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.4.arch_no_4.trial_no_0.pth
47,1603583765-067812,55,4,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.4.arch_no_5.trial_no_0.pth
48,1603583765-067812,55,5,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.5.arch_no_6.trial_no_0.pth
49,1603583765-067812,55,5,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.5.arch_no_7.trial_no_0.pth
50,1603583765-067812,55,5,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.5.arch_no_8.trial_no_0.pth
