,mse,psnr,ssim,CR,bpp,file_size_bits,compression
1603478755-305517,6.122019840404391e-06,58.14577983424152,0.9987691051223465,0.1385228879077154,27.97900390625,1833632.0,siren-75
1603478755-305517,8.955354132922366e-06,56.492703563725144,0.9982018941149892,0.1385228879077154,27.97900390625,1833632.0,siren-75
1603478755-305517,6.18966714682756e-06,58.214384879261544,0.9990853285667715,0.1385228879077154,27.97900390625,1833632.0,siren-75
1603478755-305517,1.7784917872631922e-05,53.486111135621584,0.9975415105177378,0.12599006364978332,30.76220703125,2016032.0,siren-75
1603478755-305517,5.266153493721504e-06,58.40136491548985,0.9990028088928652,0.12599006364978332,30.76220703125,2016032.0,siren-75
1603478755-305517,4.557864485832397e-06,59.208228216144036,0.9991725775873259,0.12599006364978332,30.76220703125,2016032.0,siren-75
1603478755-305517,6.147941894596443e-05,49.731258364862505,0.9942337387410228,0.1155368917483006,33.54541015625,2198432.0,siren-75
1603478755-305517,4.3611562432488427e-05,50.73573140760882,0.9953245973345504,0.1155368917483006,33.54541015625,2198432.0,siren-75
1603478755-305517,1.9734019588213414e-05,52.523091228906424,0.9962229021240646,0.1155368917483006,33.54541015625,2198432.0,siren-75
1603478755-305517,1.85797325684689e-05,53.261245584755876,0.9977115207267888,0.10668539401352133,36.32861328125,2380832.0,siren-75
1603478755-305517,9.751738252816722e-05,46.03059338879028,0.9887880644127832,0.10668539401352133,36.32861328125,2380832.0,siren-75
1603478755-305517,5.976523425488267e-06,57.79892013367791,0.9988493024973438,0.10668539401352133,36.32861328125,2380832.0,siren-75
1603557121-338703,6.713710172334686e-05,49.05059114305483,0.9966154381435409,0.255875052383869,15.14697265625,992672.0,siren-55
1603557121-338703,5.4430103773484007e-05,46.97546182439638,0.9956960935257815,0.255875052383869,15.14697265625,992672.0,siren-55
1603557121-338703,0.00010602621478028595,45.7763180993973,0.9888684497544776,0.255875052383869,15.14697265625,992672.0,siren-55
1603557121-338703,7.604671554872766e-05,47.08980886952968,0.9918383330555415,0.2327644350605554,16.65087890625,1091232.0,siren-55
1603557121-338703,2.2853713744552806e-05,52.06258447024386,0.997244459688085,0.2327644350605554,16.65087890625,1091232.0,siren-55
1603557121-338703,1.3221285371400882e-05,54.80448088175932,0.9976904642152462,0.2327644350605554,16.65087890625,1091232.0,siren-55
1603557121-338703,4.004314905614592e-05,49.845281256422226,0.9940291563709635,0.2134826927731906,18.15478515625,1189792.0,siren-55
1603557121-338703,0.00011216648272238672,45.60083299579826,0.9936229872539288,0.2134826927731906,18.15478515625,1189792.0,siren-55
1603557121-338703,1.805372266971972e-05,53.65628874223741,0.9974562796879454,0.2134826927731906,18.15478515625,1189792.0,siren-55
1603557121-338703,2.0606683392543346e-05,52.53215453604593,0.9974388154754676,0.1971510891433397,19.65869140625,1288352.0,siren-55
1603557121-338703,2.1224019292276353e-05,52.777943229903094,0.9961756008248073,0.1971510891433397,19.65869140625,1288352.0,siren-55
1603557121-338703,0.00014270884275902063,45.249056281378266,0.991185756791536,0.1971510891433397,19.65869140625,1288352.0,siren-55
1603583765-067812,0.00034432008396834135,40.665323565589205,0.9757822480377117,0.8389705105168587,4.61962890625,302752.0,siren-55
1603583765-067812,0.00034564774250611663,40.661138725574055,0.9753360704535592,0.8389705105168587,4.61962890625,302752.0,siren-55
1603583765-067812,0.00038538832450285554,40.15885025713256,0.971919496253085,0.8389705105168587,4.61962890625,302752.0,siren-55
1603583765-067812,0.00016426094225607812,43.86226731156076,0.987517633522199,0.6329240092496611,6.12353515625,401312.0,siren-55
1603583765-067812,0.0002456393849570304,42.09326370447389,0.9854545810739819,0.6329240092496611,6.12353515625,401312.0,siren-55
1603583765-067812,0.00017728193779475987,43.367002552858,0.9867754825181488,0.6329240092496611,6.12353515625,401312.0,siren-55
1603583765-067812,9.979442984331399e-05,45.946187809059545,0.9917329028941934,0.508130081300813,7.62744140625,499872.0,siren-55
1603583765-067812,0.00010200651013292372,45.95381603088009,0.9917406827071239,0.508130081300813,7.62744140625,499872.0,siren-55
1603583765-067812,0.0001077892302419059,45.77265351002193,0.991215244691521,0.508130081300813,7.62744140625,499872.0,siren-55
1603583765-067812,7.644334982614964e-05,47.39988323632042,0.9936974478855223,0.42444254317950914,9.13134765625,598432.0,siren-55
1603583765-067812,7.290017674677074e-05,47.478825670150954,0.9937598661591382,0.42444254317950914,9.13134765625,598432.0,siren-55
1603583765-067812,9.193028381559998e-05,46.500677713568514,0.993498442235298,0.42444254317950914,9.13134765625,598432.0,siren-55
1603583765-067812,0.00016125258116517216,44.613240175382536,0.9937619918082142,0.36442312106882147,10.63525390625,696992.0,siren-55
1603583765-067812,6.445220788009465e-05,46.197413133226405,0.9943844112619025,0.36442312106882147,10.63525390625,696992.0,siren-55
1603583765-067812,6.595130253117532e-05,48.35464939506767,0.9949798355261061,0.36442312106882147,10.63525390625,696992.0,siren-55
1603583765-067812,5.3331088565755635e-05,48.07619452638514,0.9954095502646945,0.31927516994489363,12.13916015625,795552.0,siren-55
1603583765-067812,5.1298724429216236e-05,49.456710842265366,0.995665327311461,0.31927516994489363,12.13916015625,795552.0,siren-55
