,model_filename,hidden_layers,hidden_features,sidelength,quant_tech,mse,psnr,ssim,eta_seconds,model_size
0,1604340857-839151.16.0.2.0.arch_no_0.trial_no_0.pth,2,16,256,None,0.028246063739061356,21.56757868822155,0.581333122851268,0.0651097297668457,5391
1,1604340857-839151.16.0.2.0.arch_no_0.trial_no_0.pth,2,16,256,dynamic-torch.qint8,0.033758267760276794,20.791469602251183,0.5487812648279428,0.028423547744750977,6383
2,1604340857-839151.16.0.2.0.arch_no_0.trial_no_0.pth,2,16,256,dynamic-torch.float16,0.028251275420188904,21.56680298052166,0.5813230963919571,0.020679712295532227,7919
3,1604340857-839151.16.0.2.0.arch_no_0.trial_no_0.pth,2,16,256,custom_quant,0.812845766544342,7.228234380897565,0.014611829837010275,0.03259086608886719,5391
4,1604340857-839151.16.0.2.0.arch_no_1.trial_no_0.pth,2,16,256,None,0.032315440475940704,20.971885702074104,0.557830590339973,0.013934612274169922,5391
5,1604340857-839151.16.0.2.0.arch_no_1.trial_no_0.pth,2,16,256,dynamic-torch.qint8,0.03810220584273338,20.265084491511338,0.5088779562468927,0.02159714698791504,6383
6,1604340857-839151.16.0.2.0.arch_no_1.trial_no_0.pth,2,16,256,dynamic-torch.float16,0.032346922904253006,20.966806319535863,0.5571622758423623,0.023863554000854492,7919
7,1604340857-839151.16.0.2.0.arch_no_1.trial_no_0.pth,2,16,256,custom_quant,0.38089969754219055,10.212493393937866,0.3380665657430016,0.0198061466217041,5391
8,1604340857-839151.16.0.2.0.arch_no_2.trial_no_0.pth,2,16,256,None,0.029657166451215744,21.353592111125835,0.5601436378329429,0.01431894302368164,5391
9,1604340857-839151.16.0.2.0.arch_no_2.trial_no_0.pth,2,16,256,dynamic-torch.qint8,0.03500930964946747,20.637230950242564,0.5220319129791323,0.021225690841674805,6383
10,1604340857-839151.16.0.2.0.arch_no_2.trial_no_0.pth,2,16,256,dynamic-torch.float16,0.02966487407684326,21.352239215933583,0.560207818727675,0.018616199493408203,7919
11,1604340857-839151.16.0.2.0.arch_no_2.trial_no_0.pth,2,16,256,custom_quant,0.3807237148284912,10.214500623411917,0.3380797505093724,0.02549147605895996,5391
12,1604340857-839151.16.0.2.0.arch_no_3.trial_no_0.pth,2,16,256,None,0.02773362770676613,21.641483410665607,0.6009650275352657,0.01730656623840332,5391
13,1604340857-839151.16.0.2.0.arch_no_3.trial_no_0.pth,2,16,256,dynamic-torch.qint8,0.03268946707248688,20.92823697352209,0.5622716012558148,0.022359132766723633,6383
14,1604340857-839151.16.0.2.0.arch_no_3.trial_no_0.pth,2,16,256,dynamic-torch.float16,0.027735795825719833,21.641101782419465,0.601089809086709,0.01825094223022461,7919
15,1604340857-839151.16.0.2.0.arch_no_3.trial_no_0.pth,2,16,256,custom_quant,0.4050799608230591,9.945192997612333,0.33982451578032663,0.024817943572998047,5391
16,1604340857-839151.16.0.2.0.arch_no_4.trial_no_0.pth,2,16,256,None,0.029138697311282158,21.40146093294843,0.5929679996363517,0.01470494270324707,5391
17,1604340857-839151.16.0.2.0.arch_no_4.trial_no_0.pth,2,16,256,dynamic-torch.qint8,0.039586421102285385,20.092030224485878,0.5316170547900216,0.021250486373901367,6383
18,1604340857-839151.16.0.2.0.arch_no_4.trial_no_0.pth,2,16,256,dynamic-torch.float16,0.02914450503885746,21.40067192501968,0.5927574465351263,0.0192410945892334,7919
19,1604340857-839151.16.0.2.0.arch_no_4.trial_no_0.pth,2,16,256,custom_quant,0.6747637987136841,7.729081918103588,0.3387554944421062,0.019711971282958984,5391
20,1604340857-839151.16.0.3.0.arch_no_5.trial_no_0.pth,3,16,256,None,0.026206189766526222,21.910545428256224,0.5605962338007926,0.01885843276977539,7127
21,1604340857-839151.16.0.3.0.arch_no_5.trial_no_0.pth,3,16,256,dynamic-torch.qint8,0.042575009167194366,19.796186140933237,0.48395808886387215,0.027502775192260742,7935
22,1604340857-839151.16.0.3.0.arch_no_5.trial_no_0.pth,3,16,256,dynamic-torch.float16,0.0262112095952034,21.909717776794416,0.5604812634511659,0.024454593658447266,10303
23,1604340857-839151.16.0.3.0.arch_no_5.trial_no_0.pth,3,16,256,custom_quant,0.36484816670417786,10.399478387710994,0.3376048139344207,0.03216671943664551,7127
24,1604340857-839151.16.0.3.0.arch_no_6.trial_no_0.pth,3,16,256,None,0.020197438076138496,22.999183587369167,0.6478363271870893,0.0191648006439209,7127
25,1604340857-839151.16.0.3.0.arch_no_6.trial_no_0.pth,3,16,256,dynamic-torch.qint8,0.028228042647242546,21.545396227029244,0.5906066078651283,0.028173446655273438,7935
