,Psnr Score,Prune Rate,bpp
0,48.3531267,4.93,9.746067626953124
1,49.1707535,5.3,9.70813720703125
2,49.9944042,5.72,9.6650810546875
3,46.7903223,6.07,9.629200927734376
4,50.2216741,6.48,9.587169921875
5,45.5759149,6.83,9.551289794921875
6,50.2094897,7.22,9.51130908203125
7,50.3228775,7.56,9.4764541015625
8,47.2865507,7.94,9.43749853515625
9,50.1570614,8.28,9.4026435546875
10,49.7048715,8.65,9.364713134765625
11,48.4957849,8.98,9.33088330078125
12,50.0237594,9.35,9.292952880859374
13,46.8160335,9.68,9.259123046875
14,47.1150353,10.04,9.2222177734375
15,47.3291401,10.35,9.190438232421876
16,49.1077185,10.71,9.153532958984375
17,49.5216538,11.02,9.12175341796875
18,49.5923804,11.36,9.0868984375
19,49.579306,11.67,9.055118896484375
20,45.7837291,12.01,9.020263916015626
21,45.5090003,12.31,8.989509521484376
22,48.4741186,12.64,8.9556796875
23,44.4430093,12.93,8.925950439453125
24,48.9691843,13.25,8.893145751953124
25,48.3704037,13.54,8.863416503906251
26,48.8273774,13.85,8.831636962890625
27,47.5464325,14.14,8.80190771484375
28,48.5701848,14.44,8.7711533203125
29,47.8975291,14.72,8.74244921875
30,48.3155274,15.02,8.71169482421875
31,48.2120607,15.28,8.685041015625
32,48.1527893,15.58,8.65428662109375
33,48.4759512,15.84,8.6276328125
34,48.1643568,16.13,8.597903564453125
35,47.6217404,16.39,8.571249755859375
36,48.3124869,16.67,8.542545654296875
37,47.4868846,16.91,8.517942138671875
38,47.9824014,17.2,8.488212890625
39,47.4749224,17.43,8.464634521484374
40,47.6636949,17.71,8.435930419921874
41,47.4072607,17.94,8.41235205078125
42,47.6438255,18.2,8.3856982421875
43,48.0492484,18.44,8.3610947265625
44,46.895303,18.7,8.33444091796875
45,45.9947838,18.91,8.312912841796875
46,46.9780284,19.17,8.286259033203125
47,46.6659798,19.39,8.263705810546876
48,47.6417416,19.64,8.238077148437501
49,47.7560937,19.84,8.21757421875
